alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
-0.00,993.36,-0.852,0.445,9.730,0.031,0.022,-0.055,36.69
0.02,993.35,-0.819,0.474,9.697,0.033,0.023,-0.056,36.69
-0.02,993.36,-0.785,0.450,9.821,0.032,0.022,-0.056,36.70
0.02,993.35,-0.838,0.436,9.783,0.030,0.022,-0.058,36.72
-0.01,993.36,-0.814,0.479,9.773,0.030,0.022,-0.056,36.71
-0.03,993.36,-0.843,0.488,9.720,0.030,0.022,-0.055,36.71
-0.04,993.36,-0.848,0.460,9.716,0.033,0.022,-0.056,36.69
-0.03,993.36,-0.833,0.431,9.744,0.032,0.024,-0.055,36.69
0.01,993.36,-0.809,0.460,9.759,0.032,0.022,-0.055,36.72
-0.00,993.36,-0.795,0.464,9.778,0.032,0.021,-0.055,36.72
0.02,993.35,-0.848,0.402,9.764,0.030,0.022,-0.056,36.71
-0.02,993.36,-0.809,0.460,9.759,0.032,0.021,-0.055,36.67
0.01,993.36,-0.848,0.493,9.764,0.034,0.021,-0.056,36.72
0.04,993.35,-0.852,0.450,9.749,0.033,0.022,-0.058,36.69
0.05,993.35,-0.852,0.445,9.807,0.032,0.021,-0.056,36.69
0.06,993.35,-0.804,0.450,9.749,0.030,0.024,-0.055,36.71
0.04,993.35,-0.824,0.464,9.744,0.032,0.023,-0.057,36.68
0.02,993.35,-0.809,0.460,9.783,0.031,0.022,-0.055,36.70
-0.02,993.36,-0.876,0.484,9.744,0.034,0.023,-0.057,36.67
-0.03,993.36,-0.833,0.460,9.773,0.032,0.023,-0.055,36.69
-0.01,993.36,-0.814,0.445,9.725,0.031,0.024,-0.057,36.68
-0.03,993.36,-0.852,0.479,9.673,0.033,0.022,-0.054,36.69
0.01,993.36,-0.848,0.441,9.754,0.033,0.022,-0.055,36.73
-0.00,993.36,-0.800,0.455,9.754,0.034,0.023,-0.057,36.71
-0.01,993.36,-0.776,0.460,9.735,0.032,0.023,-0.057,36.68
-0.02,993.36,-0.867,0.594,9.931,0.032,0.023,-0.057,36.70
0.02,993.35,-0.804,0.436,9.649,0.031,0.021,-0.054,36.70
-0.01,993.36,-0.795,0.359,9.687,0.033,0.022,-0.055,36.70
-0.00,993.36,-0.824,0.445,9.778,0.030,0.023,-0.057,36.71
-0.01,993.36,-0.843,0.469,9.764,0.031,0.023,-0.056,36.69
-0.02,993.36,-0.804,0.498,9.759,0.032,0.022,-0.056,36.68
-0.03,993.36,-0.824,0.460,9.735,0.032,0.023,-0.056,36.71
-0.01,993.36,-0.838,0.474,9.725,0.033,0.025,-0.058,36.71
-0.01,993.36,-0.843,0.441,9.778,0.032,0.020,-0.056,36.70
0.00,993.36,-0.838,0.464,9.754,0.030,0.022,-0.056,36.68
0.02,993.35,-0.824,0.445,9.749,0.030,0.022,-0.056,36.69
-0.01,993.36,-0.828,0.469,9.735,0.031,0.021,-0.056,36.71
0.02,993.35,-0.867,0.464,9.797,0.030,0.022,-0.055,36.69
-0.01,993.36,-0.723,0.163,9.596,0.030,0.021,-0.054,36.70
0.02,993.35,-0.824,0.436,9.855,0.033,0.022,-0.055,36.71
0.03,993.35,-0.843,0.541,9.764,0.032,0.022,-0.056,36.68
0.04,993.35,-0.833,0.484,9.764,0.032,0.023,-0.056,36.68
0.03,993.35,-0.804,0.402,9.773,0.031,0.022,-0.057,36.72
0.02,993.35,-0.819,0.464,9.720,0.031,0.023,-0.058,36.69
0.01,993.36,-0.828,0.464,9.768,0.029,0.023,-0.058,36.70
0.02,993.35,-0.833,0.479,9.759,0.032,0.022,-0.055,36.70
0.01,993.36,-0.862,0.464,9.783,0.030,0.024,-0.056,36.69
-0.03,993.36,-0.843,0.455,9.744,0.031,0.022,-0.056,36.70
-0.04,993.36,-0.833,0.469,9.768,0.031,0.022,-0.055,36.68
-0.01,993.36,-0.809,0.474,9.802,0.030,0.023,-0.057,36.69
0.02,993.35,-0.838,0.455,9.744,0.031,0.022,-0.056,36.71
-0.02,993.36,-0.833,0.474,9.811,0.032,0.022,-0.057,36.71
-0.01,993.36,-0.819,0.445,9.773,0.033,0.024,-0.055,36.68
0.03,993.35,-0.824,0.450,9.749,0.033,0.024,-0.056,36.69
0.07,993.35,-0.804,0.469,9.787,0.033,0.023,-0.056,36.72
0.02,993.35,-0.848,0.436,9.749,0.031,0.022,-0.056,36.69
0.05,993.35,-0.804,0.450,9.720,0.032,0.022,-0.056,36.69
0.00,993.36,-0.833,0.474,9.773,0.032,0.022,-0.056,36.71
0.03,993.35,-0.838,0.469,9.706,0.031,0.023,-0.056,36.70
-0.00,993.36,-0.814,0.474,9.783,0.032,0.022,-0.055,36.69
0.01,993.36,-0.848,0.484,9.783,0.030,0.023,-0.058,36.70
-0.02,993.36,-0.800,0.441,9.792,0.032,0.021,-0.055,36.69
0.01,993.35,-0.790,0.479,9.749,0.033,0.023,-0.056,36.71
-0.01,993.36,-0.838,0.484,9.706,0.032,0.022,-0.056,36.69
-0.00,993.36,-0.828,0.469,9.783,0.033,0.021,-0.055,36.70
-0.03,993.36,-0.809,0.450,9.725,0.029,0.021,-0.056,36.69
0.03,993.35,-0.790,0.450,9.759,0.032,0.023,-0.056,36.69
0.04,993.35,-0.804,0.503,9.701,0.032,0.023,-0.058,36.69
0.05,993.35,-0.848,0.431,9.725,0.030,0.021,-0.056,36.70
0.04,993.35,-0.800,0.436,9.735,0.030,0.021,-0.055,36.70
0.04,993.35,-0.838,0.441,9.740,0.032,0.023,-0.057,36.68
0.03,993.35,-0.814,0.445,9.730,0.031,0.021,-0.057,36.71
0.04,993.35,-0.833,0.469,9.840,0.031,0.022,-0.055,36.68
0.02,993.35,-0.852,0.479,9.701,0.032,0.023,-0.056,36.70
0.00,993.36,-0.809,0.417,9.701,0.033,0.022,-0.056,36.68
0.01,993.36,-0.785,0.460,9.759,0.032,0.023,-0.056,36.68
0.03,993.35,-0.833,0.436,9.744,0.033,0.023,-0.058,36.70
0.02,993.35,-0.843,0.479,9.768,0.030,0.023,-0.056,36.69
-0.02,993.36,-0.828,0.479,9.744,0.031,0.022,-0.056,36.68
-0.04,993.36,-0.848,0.426,9.778,0.031,0.023,-0.056,36.69
-0.03,993.36,-0.814,0.407,9.754,0.031,0.022,-0.055,36.71
0.01,993.36,-0.852,0.464,9.792,0.032,0.021,-0.057,36.69
0.01,993.36,-0.795,0.460,9.797,0.032,0.023,-0.058,36.67
0.03,993.35,-0.838,0.484,9.692,0.031,0.022,-0.056,36.69
0.04,993.35,-0.809,0.441,9.768,0.032,0.022,-0.058,36.70
0.02,993.35,-0.852,0.488,9.720,0.032,0.022,-0.055,36.68
0.04,993.35,-0.809,0.479,9.706,0.031,0.023,-0.058,36.70
0.04,993.35,-0.838,0.450,9.730,0.033,0.023,-0.057,36.70
0.02,993.35,-0.848,0.464,9.687,0.032,0.022,-0.056,36.72
-0.01,993.36,-0.862,0.479,9.768,0.032,0.021,-0.055,36.69
-0.02,993.36,-0.795,0.450,9.735,0.031,0.021,-0.056,36.70
0.04,993.35,-0.785,0.455,9.735,0.032,0.023,-0.056,36.67
0.02,993.35,-0.804,0.417,9.749,0.031,0.021,-0.056,36.70
0.02,993.35,-0.804,0.460,9.744,0.032,0.022,-0.055,36.72
0.00,993.36,-0.809,0.426,9.778,0.032,0.022,-0.058,36.73
-0.03,993.36,-0.828,0.455,9.759,0.031,0.023,-0.057,36.69
-0.03,993.36,-0.800,0.464,9.792,0.030,0.021,-0.057,36.69
-0.02,993.36,-0.838,0.464,9.720,0.030,0.022,-0.056,36.70
0.01,993.36,-0.848,0.436,9.744,0.032,0.022,-0.056,36.68
0.07,993.35,-0.833,0.464,9.759,0.033,0.020,-0.055,36.70
0.02,993.35,-0.843,0.469,9.716,0.032,0.024,-0.055,36.70
-0.03,993.36,-0.848,0.484,9.730,0.030,0.022,-0.057,36.69
-0.03,993.36,-0.800,0.474,9.773,0.032,0.024,-0.055,36.70
0.02,993.35,-0.828,0.431,9.740,0.031,0.022,-0.058,36.69
-0.01,993.36,-0.828,0.479,9.716,0.032,0.023,-0.057,36.74
0.00,993.36,-0.833,0.412,9.749,0.033,0.022,-0.056,36.69
0.04,993.35,-0.843,0.474,9.706,0.031,0.022,-0.055,36.71
0.06,993.35,-0.804,0.474,9.754,0.032,0.023,-0.057,36.68
0.05,993.35,-0.800,0.450,9.697,0.032,0.022,-0.055,36.70
0.02,993.35,-0.838,0.421,9.787,0.031,0.022,-0.056,36.70
0.02,993.35,-0.867,0.445,9.759,0.034,0.023,-0.056,36.70
0.03,993.35,-0.790,0.474,9.744,0.030,0.023,-0.056,36.70
-0.01,993.36,-0.804,0.474,9.711,0.031,0.023,-0.054,36.71
-0.00,993.36,-0.814,0.460,9.682,0.030,0.023,-0.056,36.69
0.04,993.35,-0.804,0.445,9.730,0.031,0.024,-0.056,36.71
0.04,993.35,-0.824,0.469,9.759,0.033,0.022,-0.056,36.72
0.04,993.35,-0.795,0.426,9.730,0.031,0.022,-0.056,36.69
0.05,993.35,-0.852,0.455,9.740,0.031,0.023,-0.056,36.70
-0.01,993.36,-0.766,0.464,9.783,0.033,0.023,-0.058,36.70
0.01,993.36,-0.819,0.474,9.740,0.030,0.022,-0.056,36.69
0.02,993.35,-0.814,0.445,9.754,0.031,0.021,-0.057,36.70
0.01,993.36,-0.814,0.441,9.749,0.031,0.022,-0.057,36.69
0.00,993.36,-0.833,0.431,9.744,0.031,0.022,-0.055,36.72
-0.01,993.36,-0.819,0.474,9.787,0.032,0.021,-0.055,36.68
-0.01,993.36,-0.867,0.464,9.740,0.033,0.022,-0.058,36.70
0.02,993.35,-0.809,0.469,9.773,0.031,0.024,-0.058,36.71
0.03,993.35,-0.814,0.469,9.735,0.033,0.021,-0.057,36.71
0.01,993.36,-0.852,0.445,9.778,0.032,0.021,-0.057,36.69
0.02,993.35,-0.800,0.445,9.692,0.033,0.021,-0.055,36.71
0.06,993.35,-0.828,0.460,9.773,0.031,0.023,-0.055,36.71
0.01,993.35,-0.843,0.445,9.797,0.032,0.023,-0.057,36.68
0.00,993.36,-0.814,0.450,9.735,0.031,0.022,-0.055,36.70
0.03,993.35,-0.814,0.441,9.744,0.033,0.022,-0.056,36.72
0.03,993.35,-0.790,0.469,9.802,0.032,0.021,-0.056,36.68
0.01,993.36,-0.833,0.464,9.749,0.033,0.022,-0.056,36.67
0.02,993.35,-0.862,0.441,9.778,0.031,0.022,-0.056,36.70
0.04,993.35,-0.809,0.464,9.759,0.032,0.023,-0.056,36.70
0.02,993.35,-0.819,0.479,9.807,0.033,0.023,-0.055,36.71
-0.00,993.36,-0.800,0.464,9.687,0.033,0.022,-0.054,36.68
0.03,993.35,-0.843,0.455,9.720,0.032,0.023,-0.055,36.70
-0.00,993.36,-0.867,0.402,9.735,0.031,0.023,-0.056,36.71
0.01,993.36,-0.804,0.474,9.725,0.030,0.021,-0.056,36.71
-0.00,993.36,-0.824,0.426,9.759,0.033,0.024,-0.055,36.71
0.00,993.36,-0.833,0.445,9.730,0.031,0.022,-0.056,36.71
0.02,993.35,-0.819,0.445,9.730,0.030,0.023,-0.057,36.72
0.03,993.35,-0.809,0.445,9.740,0.031,0.023,-0.056,36.69
0.08,993.35,-0.819,0.464,9.773,0.033,0.023,-0.058,36.71
0.08,993.35,-0.819,0.469,9.725,0.031,0.023,-0.057,36.71
0.05,993.35,-0.833,0.460,9.711,0.031,0.021,-0.055,36.69
0.02,993.35,-0.833,0.441,9.720,0.032,0.023,-0.057,36.72
-0.00,993.36,-0.804,0.436,9.740,0.030,0.022,-0.054,36.68
-0.00,993.36,-0.833,0.479,9.720,0.033,0.023,-0.056,36.71
0.02,993.35,-0.790,0.441,9.759,0.032,0.021,-0.057,36.71
0.01,993.36,-0.833,0.450,9.735,0.033,0.022,-0.055,36.71
-0.00,993.36,-0.809,0.460,9.773,0.031,0.023,-0.056,36.71
0.02,993.35,-0.795,0.455,9.754,0.032,0.024,-0.057,36.70
0.00,993.36,-0.804,0.431,9.797,0.031,0.023,-0.055,36.70
0.02,993.35,-0.814,0.493,9.821,0.030,0.022,-0.056,36.70
0.01,993.36,-0.809,0.503,9.759,0.030,0.023,-0.055,36.71
-0.01,993.36,-0.809,0.479,9.778,0.030,0.021,-0.056,36.71
0.04,993.35,-0.833,0.450,9.792,0.030,0.023,-0.056,36.71
0.01,993.36,-0.867,0.445,9.749,0.032,0.022,-0.054,36.69
-0.02,993.36,-0.848,0.464,9.764,0.030,0.023,-0.056,36.70
-0.03,993.36,-0.804,0.484,9.802,0.030,0.024,-0.057,36.69
0.01,993.36,-0.838,0.464,9.759,0.030,0.023,-0.057,36.71
-0.04,993.36,-0.862,0.474,9.764,0.031,0.025,-0.055,36.73
-0.02,993.36,-0.838,0.417,9.730,0.029,0.023,-0.057,36.71
0.00,993.36,-0.819,0.469,9.697,0.028,0.023,-0.056,36.70
0.02,993.35,-0.848,0.479,9.692,0.030,0.022,-0.056,36.71
-0.00,993.36,-0.809,0.417,9.716,0.031,0.022,-0.056,36.72
-0.00,993.36,-0.819,0.431,9.653,0.031,0.022,-0.055,36.67
0.00,993.36,-0.814,0.474,9.749,0.032,0.022,-0.057,36.71
0.03,993.35,-0.824,0.436,9.778,0.032,0.023,-0.059,36.69
-0.01,993.36,-0.819,0.460,9.773,0.031,0.022,-0.056,36.72
-0.01,993.36,-0.776,0.450,9.797,0.033,0.025,-0.055,36.72
0.02,993.35,-0.838,0.455,9.735,0.032,0.022,-0.057,36.68
-0.02,993.36,-0.819,0.445,9.768,0.032,0.024,-0.055,36.71
-0.02,993.36,-0.828,0.460,9.735,0.032,0.024,-0.055,36.71
-0.01,993.36,-0.819,0.412,9.764,0.033,0.023,-0.056,36.71
0.03,993.35,-0.800,0.445,9.759,0.033,0.023,-0.055,36.68
0.01,993.36,-0.814,0.469,9.787,0.031,0.022,-0.056,36.73
0.01,993.35,-0.804,0.412,9.701,0.033,0.023,-0.056,36.71
-0.00,993.36,-0.819,0.479,9.768,0.031,0.023,-0.057,36.73
0.02,993.35,-0.843,0.464,9.749,0.033,0.023,-0.057,36.71
-0.03,993.36,-0.814,0.450,9.735,0.031,0.022,-0.055,36.68
-0.03,993.36,-0.824,0.436,9.783,0.031,0.021,-0.056,36.71
0.00,993.36,-0.862,0.445,9.787,0.031,0.023,-0.056,36.70
0.01,993.36,-0.809,0.479,9.740,0.032,0.023,-0.057,36.71
0.01,993.36,-0.804,0.493,9.711,0.031,0.024,-0.055,36.69
0.02,993.35,-0.833,0.479,9.720,0.031,0.022,-0.054,36.70
0.01,993.36,-0.828,0.450,9.701,0.031,0.025,-0.057,36.70
-0.02,993.36,-0.862,0.450,9.749,0.034,0.022,-0.057,36.71
0.04,993.35,-0.838,0.469,9.764,0.031,0.022,-0.057,36.70
0.05,993.35,-0.809,0.484,9.735,0.032,0.024,-0.057,36.71
0.02,993.35,-0.828,0.474,9.744,0.032,0.023,-0.058,36.68
0.02,993.35,-0.838,0.445,9.764,0.031,0.022,-0.058,36.72
-0.01,993.36,-0.824,0.479,9.754,0.030,0.022,-0.055,36.73
-0.02,993.36,-0.785,0.450,9.711,0.031,0.022,-0.055,36.72
-0.01,993.36,-0.848,0.498,9.768,0.031,0.023,-0.054,36.69
-0.01,993.36,-0.809,0.474,9.735,0.030,0.022,-0.058,36.73
0.01,993.36,-0.785,0.441,9.754,0.032,0.023,-0.057,36.72
-0.01,993.36,-0.795,0.436,9.735,0.031,0.022,-0.058,36.71
-0.05,993.36,-0.838,0.488,9.768,0.031,0.023,-0.058,36.70
-0.04,993.36,-0.828,0.450,9.711,0.033,0.023,-0.055,36.72
-0.05,993.36,-0.833,0.445,9.720,0.033,0.022,-0.055,36.69
0.01,993.36,-0.809,0.479,9.783,0.031,0.024,-0.056,36.69
0.02,993.35,-0.819,0.412,9.716,0.031,0.023,-0.057,36.71
0.01,993.36,-0.800,0.378,9.768,0.031,0.023,-0.055,36.72
-0.04,993.36,-0.833,0.436,9.754,0.033,0.022,-0.057,36.71
-0.02,993.36,-0.809,0.445,9.749,0.033,0.023,-0.056,36.70
0.00,993.36,-0.809,0.460,9.749,0.032,0.024,-0.055,36.71
-0.01,993.36,-0.867,0.431,9.778,0.031,0.022,-0.058,36.71
-0.02,993.36,-0.828,0.441,9.749,0.032,0.021,-0.057,36.68
-0.07,993.36,-0.838,0.460,9.773,0.031,0.023,-0.056,36.70
-0.07,993.36,-0.824,0.474,9.754,0.032,0.022,-0.057,36.69
-0.05,993.36,-0.800,0.436,9.749,0.029,0.023,-0.058,36.72
-0.06,993.36,-0.857,0.474,9.749,0.031,0.023,-0.056,36.72
-0.02,993.36,-0.828,0.469,9.759,0.032,0.022,-0.057,36.69
-0.02,993.36,-0.833,0.450,9.773,0.031,0.022,-0.056,36.73
0.01,993.36,-0.814,0.512,9.754,0.032,0.022,-0.056,36.69
0.02,993.35,-0.828,0.493,9.773,0.032,0.022,-0.055,36.73
-0.03,993.36,-0.828,0.455,9.783,0.030,0.022,-0.055,36.71
0.04,993.35,-0.838,0.460,9.725,0.031,0.021,-0.057,36.70
-0.01,993.36,-0.843,0.469,9.687,0.033,0.022,-0.056,36.75
-0.01,993.36,-0.804,0.436,9.768,0.033,0.022,-0.055,36.72
-0.02,993.36,-0.828,0.464,9.744,0.032,0.022,-0.056,36.71
-0.00,993.36,-0.819,0.460,9.759,0.031,0.023,-0.055,36.71
-0.04,993.36,-0.824,0.484,9.773,0.033,0.023,-0.056,36.69
-0.04,993.36,-0.800,0.469,9.735,0.030,0.023,-0.056,36.70
0.00,993.36,-0.852,0.488,9.735,0.033,0.021,-0.056,36.72
0.03,993.35,-0.814,0.407,9.730,0.031,0.021,-0.056,36.72
0.04,993.35,-0.828,0.464,9.816,0.031,0.021,-0.055,36.71
-0.01,993.36,-0.833,0.469,9.740,0.034,0.022,-0.054,36.71
-0.01,993.36,-0.843,0.436,9.711,0.030,0.022,-0.055,36.73
-0.00,993.36,-0.804,0.445,9.720,0.032,0.023,-0.056,36.71
0.04,993.35,-0.833,0.445,9.687,0.032,0.023,-0.057,36.71
0.00,993.36,-0.857,0.474,9.740,0.030,0.022,-0.058,36.70
-0.02,993.36,-0.809,0.503,9.725,0.033,0.023,-0.055,36.70
-0.02,993.36,-0.876,0.464,9.792,0.032,0.023,-0.056,36.71
-0.04,993.36,-0.838,0.445,9.706,0.032,0.022,-0.056,36.71
0.04,993.35,-0.833,0.455,9.773,0.031,0.023,-0.056,36.72
0.02,993.35,-0.848,0.517,9.787,0.031,0.022,-0.056,36.71
0.02,993.35,-0.828,0.445,9.759,0.032,0.022,-0.055,36.72
0.01,993.36,-0.800,0.441,9.711,0.030,0.023,-0.057,36.73
-0.00,993.36,-0.809,0.488,9.749,0.031,0.021,-0.056,36.69
-0.01,993.36,-0.828,0.488,9.773,0.031,0.022,-0.056,36.73
-0.01,993.36,-0.852,0.488,9.730,0.031,0.021,-0.056,36.69
0.01,993.35,-0.838,0.474,9.687,0.031,0.024,-0.057,36.72
0.01,993.36,-0.824,0.460,9.720,0.032,0.023,-0.056,36.72
0.02,993.35,-0.795,0.474,9.735,0.033,0.022,-0.056,36.70
0.04,993.35,-0.838,0.464,9.730,0.033,0.021,-0.056,36.70
-0.01,993.36,-0.790,0.498,9.716,0.031,0.022,-0.055,36.68
0.03,993.35,-0.800,0.441,9.720,0.031,0.023,-0.057,36.72
0.01,993.36,-0.804,0.469,9.764,0.032,0.022,-0.056,36.71
0.03,993.35,-0.828,0.460,9.754,0.031,0.023,-0.057,36.70
0.01,993.36,-0.824,0.498,9.740,0.030,0.022,-0.055,36.71
0.02,993.35,-0.824,0.464,9.759,0.031,0.021,-0.057,36.71
0.04,993.35,-0.809,0.436,9.768,0.033,0.021,-0.056,36.72
-0.03,993.36,-0.819,0.464,9.744,0.031,0.024,-0.055,36.71
-0.00,993.36,-0.819,0.469,9.802,0.030,0.023,-0.057,36.74
0.06,993.35,-0.819,0.484,9.730,0.031,0.019,-0.054,36.72
-0.01,993.36,-0.809,0.474,9.821,0.031,0.022,-0.057,36.69
0.00,993.36,-0.852,0.455,9.787,0.031,0.022,-0.055,36.71
0.01,993.36,-0.848,0.460,9.811,0.031,0.023,-0.057,36.69
